candidat,model_score,human_label,sem_sim,skill_rate_w,exp_score,form_score,sem_v2,edu_dom_compat,exp_dom_ratio,title_skill_match,crit_skill_ratio,offer_type_enc
Stagiaire 2/5 (faible),0.7148,0.45,0.7269,0.4444,1.0,0.8862,0.7269,1.0,1.0,1.0,1.0,0.0
Stagiaire 3/5 (moyen),0.8418,0.7,0.7298,0.7822,1.0,0.8862,0.7298,1.0,1.0,1.0,1.0,0.0
Stagiaire 4/5 (bon),0.8851,0.85,0.728,0.9333,1.0,0.8862,0.728,1.0,1.0,1.0,1.0,0.0
Stagiaire 5/5 (excellent),0.9026,0.95,0.7285,1.0,1.0,0.8862,0.7285,1.0,1.0,1.0,1.0,0.0
Junior React 2/5 (faible),0.3577,0.25,0.7207,0.4727,0.6079,0.8793,0.7207,1.0,1.0,0.0,1.0,0.0
Junior React 3/5 (moyen),0.7719,0.6,0.719,0.6909,0.6046,0.8793,0.719,1.0,1.0,1.0,1.0,0.0
Junior React 5/5 (excellent),0.7936,0.85,0.7281,0.7455,0.6073,0.8793,0.7281,1.0,1.0,1.0,1.0,0.0
Comptable vers RH (adjacent),0.05,0.22,0.5204,0.0,0.3164,0.8181,0.5204,0.75,0.2,0.0,1.0,0.0
Dev Fullstack vers Data (adjacent),0.4876,0.38,0.545,0.2,0.6077,0.8876,0.545,1.0,1.0,1.0,1.0,0.0
RH vers Finance (adjacent),0.1208,0.22,0.6073,0.0,0.2399,0.5832,0.6073,0.75,0.05,0.0,1.0,0.0
