offre,candidat,sem_bge,comp_bge,exp_bge,form_bge,sem_v2,skills_raw,edu_gap,label
Ingénieur Backend Python FastAPI,Senior Backend Python FastAPI,0.724,0.85,0.464,0.0,0.724,1.0,0.0,0.95
Ingénieur Backend Python FastAPI,Mid Backend Python Django,0.675,0.862,0.383,0.0,0.675,0.75,0.0,0.7792
Ingénieur Backend Python FastAPI,Junior Python Flask,0.568,0.6,0.301,0.0,0.568,0.25,0.4,0.1472
Ingénieur Backend Python FastAPI,Python Data + Backend,0.717,0.712,0.411,0.0,0.717,0.625,0.0,0.7937
Ingénieur Backend Python FastAPI,Senior Java Spring Boot,0.57,0.375,0.278,0.0,0.57,0.375,0.0,0.6562
Ingénieur Backend Python FastAPI,Mid Java Spring,0.576,0.613,0.315,0.0,0.576,0.5,0.0,0.725
Ingénieur Backend Python FastAPI,Junior Java Angular Stage,0.557,0.362,0.232,0.0,0.557,0.25,0.2,0.1571
Ingénieur Backend Python FastAPI,Senior Node.js Express,0.58,0.588,0.307,0.0,0.58,0.5,0.4,0.4644
Ingénieur Backend Python FastAPI,Full Stack Node React,0.575,0.613,0.31,0.0,0.575,0.5,0.0,0.725
Ingénieur Backend Python FastAPI,Développeur PHP Laravel Senior,0.526,0.375,0.27,0.0,0.526,0.375,0.4,0.4149
Ingénieur Backend Python FastAPI,Junior PHP Symfony,0.531,0.125,0.156,0.0,0.531,0.125,0.4,0.0588
Ingénieur Backend Python FastAPI,Développeur .NET C# Senior,0.533,0.375,0.275,0.0,0.533,0.375,0.0,0.6562
Ingénieur Backend Python FastAPI,Senior Frontend React,0.524,0.25,0.24,0.0,0.524,0.25,0.4,0.2192
Ingénieur Backend Python FastAPI,Mid Frontend React Redux,0.527,0.25,0.231,0.0,0.527,0.25,0.0,0.3025
Ingénieur Backend Python FastAPI,Junior Frontend JavaScript,0.539,0.125,0.176,0.0,0.539,0.125,0.6,0.0383
Ingénieur Backend Python FastAPI,Senior Angular TypeScript,0.536,0.338,0.241,0.0,0.536,0.25,0.0,0.3525
Ingénieur Backend Python FastAPI,Développeur Flutter Senior,0.511,0.25,0.209,0.0,0.511,0.25,0.4,0.2192
Ingénieur Backend Python FastAPI,Développeur Android Kotlin,0.51,0.25,0.209,0.0,0.51,0.25,0.0,0.3525
Ingénieur Backend Python FastAPI,Junior Mobile React Native,0.535,0.25,0.186,0.0,0.535,0.25,0.4,0.1472
Ingénieur Backend Python FastAPI,Senior Data Scientist,0.533,0.562,0.32,0.0,0.533,0.25,0.0,0.3525
Ingénieur Backend Python FastAPI,ML Engineer MLOps,0.542,0.488,0.303,0.0,0.542,0.375,0.0,0.6562
Ingénieur Backend Python FastAPI,Data Analyst Junior,0.513,0.475,0.303,0.0,0.513,0.25,0.4,0.1472
Ingénieur Backend Python FastAPI,Data Analyst Senior BI,0.512,0.475,0.322,0.0,0.512,0.25,0.0,0.3525
Ingénieur Backend Python FastAPI,Data Engineer Spark,0.578,0.6,0.331,0.0,0.578,0.375,0.0,0.6562
Ingénieur Backend Python FastAPI,Stage Data Science,0.597,0.475,0.284,0.0,0.597,0.25,0.2,0.1571
Ingénieur Backend Python FastAPI,Senior DevOps AWS,0.535,0.25,0.226,0.0,0.535,0.25,0.0,0.3525
Ingénieur Backend Python FastAPI,Ingénieur Cloud Azure,0.558,0.25,0.238,0.0,0.558,0.25,0.0,0.3525
Ingénieur Backend Python FastAPI,SRE Kubernetes Linux,0.569,0.488,0.315,0.0,0.569,0.375,0.0,0.6562
Ingénieur Backend Python FastAPI,Junior DevOps CI/CD,0.562,0.25,0.236,0.0,0.562,0.25,0.0,0.2525
Ingénieur Backend Python FastAPI,Analyste Sécurité Pentester,0.505,0.238,0.225,0.0,0.505,0.125,0.0,0.1556
Ingénieur Backend Python FastAPI,Analyste SOC SIEM,0.504,0.0,0.148,0.0,0.504,0.0,0.0,0.044
Ingénieur Backend Python FastAPI,Ingénieur QA Automation,0.561,0.488,0.321,0.0,0.561,0.375,0.0,0.6562
