sem_bge,comp_bge,exp_bge,form_bge,sem_v2,skills_raw,edu_gap,edu_domain_compat,exp_domain_ratio,label
0.806493,0.125,0.5,0.5,0.806493,0.125,0.0,1.0,0.1875,0.494
0.813801,0.1667,0.5,0.5,0.813801,0.1667,0.0,0.45,0.25,0.7764
0.780323,0.2083,0.5,0.5,0.780323,0.2083,0.0,0.45,0.3125,1.0
0.804905,0.0833,0.5,0.5,0.804905,0.0833,0.0,1.0,0.125,0.3263
0.812245,0.2917,0.5,0.5,0.812245,0.2917,0.0,1.0,0.4375,0.8603
0.797801,0.1667,0.5,0.5,0.797801,0.1667,0.0,1.0,0.25,0.7315
0.826489,0.2917,0.5,0.5,0.826489,0.2917,0.0,1.0,0.4375,0.7136
0.835715,0.0833,0.5,0.5,0.835715,0.0833,0.0,1.0,0.125,0.8603
0.803985,0.25,0.5,0.5,0.803985,0.25,0.0,1.0,0.375,0.9581
0.835175,0.3333,0.5,0.5,0.835175,0.3333,0.0,1.0,0.5,0.9092
0.855992,0.1667,0.5,0.5,0.855992,0.1667,0.0,1.0,0.25,0.7874
0.841858,0.2083,0.5,0.5,0.841858,0.2083,0.0,1.0,0.3125,0.8603
0.814727,0.1667,0.5,0.5,0.814727,0.1667,0.0,1.0,0.25,0.9022
0.813423,0.125,0.5,0.5,0.813423,0.125,0.0,1.0,0.1875,0.8184
0.781545,0.2083,0.5,0.5,0.781545,0.2083,0.0,1.0,0.3125,0.7834
0.818416,0.125,0.5,0.5,0.818416,0.125,0.0,0.45,0.1875,0.3892
0.81668,0.2083,0.5,0.5,0.81668,0.2083,0.0,1.0,0.3125,0.9022
0.840079,0.25,0.5,0.5,0.840079,0.25,0.0,1.0,0.375,0.9581
0.81752,0.0833,0.5,0.5,0.81752,0.0833,0.0,1.0,0.125,0.9581
0.832006,0.2917,0.5,0.5,0.832006,0.2917,0.0,1.0,0.4375,0.9162
0.796146,0.0417,0.5,0.5,0.796146,0.0417,0.0,1.0,0.0625,0.4242
0.845764,0.3333,0.5,0.5,0.845764,0.3333,0.0,1.0,0.5,0.8184
0.825221,0.25,0.5,0.5,0.825221,0.25,0.0,1.0,0.375,0.8603
0.820371,0.375,0.5,0.5,0.820371,0.375,0.0,1.0,0.5625,0.8533
0.809095,0.2917,0.5,0.5,0.809095,0.2917,0.0,1.0,0.4375,0.7695
0.817633,0.1667,0.5,0.5,0.817633,0.1667,0.0,1.0,0.25,0.8044
0.805788,0.2083,0.5,0.5,0.805788,0.2083,0.0,1.0,0.3125,0.9581
0.845569,0.1667,0.5,0.5,0.845569,0.1667,0.0,1.0,0.25,0.9232
0.811451,0.125,0.5,0.5,0.811451,0.125,0.0,1.0,0.1875,0.5739
0.794867,0.125,0.5,0.5,0.794867,0.125,0.0,1.0,0.1875,0.6996
0.819352,0.1667,0.5,0.5,0.819352,0.1667,0.0,1.0,0.25,0.8184
0.814241,0.3333,0.5,0.5,0.814241,0.3333,0.0,1.0,0.5,0.8603
0.853937,0.25,0.5,0.5,0.853937,0.25,0.0,0.45,0.375,0.8393
0.812957,0.25,0.5,0.5,0.812957,0.25,0.0,1.0,0.375,0.8323
0.809454,0.2083,0.5,0.5,0.809454,0.2083,0.0,0.8,0.3125,0.8323
0.856489,0.25,0.5,0.5,0.856489,0.25,0.0,1.0,0.375,0.9581
0.832887,0.3333,0.5,0.5,0.832887,0.3333,0.0,1.0,0.5,0.9162
0.909371,0.25,0.5,0.5,0.909371,0.25,0.0,0.45,0.375,0.7136
0.823614,0.1667,0.5,0.5,0.823614,0.1667,0.0,1.0,0.25,0.6617
0.803988,0.1667,0.5,0.5,0.803988,0.1667,0.0,1.0,0.25,0.6647
0.823014,0.125,0.5,0.5,0.823014,0.125,0.0,1.0,0.1875,0.7974
0.806138,0.1667,0.5,0.5,0.806138,0.1667,0.0,1.0,0.25,0.9341
0.821595,0.3333,0.5,0.5,0.821595,0.3333,0.0,0.8,0.5,0.9511
0.832115,0.125,0.5,0.5,0.832115,0.125,0.0,1.0,0.1875,0.5289
0.811936,0.1667,0.5,0.5,0.811936,0.1667,0.0,1.0,0.25,0.8603
0.803597,0.0833,0.5,0.5,0.803597,0.0833,0.0,1.0,0.125,0.7974
0.782815,0.25,0.5,0.5,0.782815,0.25,0.0,1.0,0.375,0.9092
0.830649,0.2083,0.5,0.5,0.830649,0.2083,0.0,1.0,0.3125,0.8952
0.801444,0.2917,0.5,0.5,0.801444,0.2917,0.0,0.8,0.4375,0.8533
0.755481,0.1667,0.5,0.5,0.755481,0.1667,0.0,1.0,0.25,0.6437
0.813409,0.125,0.5,0.5,0.813409,0.125,0.0,1.0,0.1875,0.7136
0.799036,0.1667,0.5,0.5,0.799036,0.1667,0.0,1.0,0.25,0.8184
0.79852,0.2083,0.5,0.5,0.79852,0.2083,0.0,1.0,0.3125,0.9092
0.815354,0.2083,0.5,0.5,0.815354,0.2083,0.0,1.0,0.3125,0.7555
0.827477,0.2083,0.5,0.5,0.827477,0.2083,0.0,1.0,0.3125,0.7206
0.859081,0.3333,0.5,0.5,0.859081,0.3333,0.0,0.45,0.5,0.9651
0.779523,0.25,0.5,0.5,0.779523,0.25,0.0,1.0,0.375,0.8673
0.802962,0.125,0.5,0.5,0.802962,0.125,0.0,1.0,0.1875,1.0
0.827705,0.375,0.5,0.5,0.827705,0.375,0.0,1.0,0.5625,0.9651
0.812101,0.2917,0.5,0.5,0.812101,0.2917,0.0,1.0,0.4375,0.4551
0.815115,0.2917,0.5,0.5,0.815115,0.2917,0.0,1.0,0.4375,0.8044
0.78366,0.125,0.5,0.5,0.78366,0.125,0.0,1.0,0.1875,0.9581
0.801447,0.1667,0.5,0.5,0.801447,0.1667,0.0,1.0,0.25,0.9022
0.802554,0.0833,0.5,0.5,0.802554,0.0833,0.0,1.0,0.125,0.9022
0.811381,0.2083,0.5,0.5,0.811381,0.2083,0.0,1.0,0.3125,0.6297
0.832006,0.3333,0.5,0.5,0.832006,0.3333,0.0,1.0,0.5,0.9511
0.839552,0.1667,0.5,0.5,0.839552,0.1667,0.0,1.0,0.25,0.6407
0.847583,0.2083,0.5,0.5,0.847583,0.2083,0.0,1.0,0.3125,0.8743
0.820137,0.2083,0.5,0.5,0.820137,0.2083,0.0,1.0,0.3125,0.7764
0.818351,0.25,0.5,0.5,0.818351,0.25,0.0,1.0,0.375,0.7695
0.823661,0.2083,0.5,0.5,0.823661,0.2083,0.0,1.0,0.3125,0.9092
0.781177,0.1667,0.5,0.5,0.781177,0.1667,0.0,1.0,0.25,0.483
0.868765,0.3333,0.5,0.5,0.868765,0.3333,0.0,1.0,0.5,0.9022
0.779731,0.3333,0.5,0.5,0.779731,0.3333,0.0,0.45,0.5,0.9341
0.786005,0.125,0.5,0.5,0.786005,0.125,0.0,1.0,0.1875,0.5848
0.790841,0.2083,0.5,0.5,0.790841,0.2083,0.0,1.0,0.3125,0.8184
0.801416,0.125,0.5,0.5,0.801416,0.125,0.0,1.0,0.1875,0.5289
0.900719,0.125,0.5,0.5,0.900719,0.125,0.0,0.45,0.1875,0.9581
0.846116,0.125,0.5,0.5,0.846116,0.125,0.0,1.0,0.1875,0.8463
0.80691,0.125,0.5,0.5,0.80691,0.125,0.0,1.0,0.1875,0.9092
0.819352,0.2917,0.5,0.5,0.819352,0.2917,0.0,1.0,0.4375,0.7275
0.817828,0.2917,0.5,0.5,0.817828,0.2917,0.0,1.0,0.4375,0.9581
0.83733,0.125,0.5,0.5,0.83733,0.125,0.0,1.0,0.1875,0.5739
0.839779,0.125,0.5,0.5,0.839779,0.125,0.0,0.45,0.1875,0.9511
0.812818,0.125,0.5,0.5,0.812818,0.125,0.0,1.0,0.1875,0.6437
0.8969,0.25,0.5,0.5,0.8969,0.25,0.0,1.0,0.375,0.9581
0.872785,0.2083,0.5,0.5,0.872785,0.2083,0.0,1.0,0.3125,0.7555
0.824325,0.2083,0.5,0.5,0.824325,0.2083,0.0,1.0,0.3125,0.8673
0.811744,0.25,0.5,0.5,0.811744,0.25,0.0,1.0,0.375,0.6786
0.852005,0.375,0.5,0.5,0.852005,0.375,0.0,1.0,0.5625,0.9581
0.818672,0.1667,0.5,0.5,0.818672,0.1667,0.0,1.0,0.25,0.7804
0.810756,0.1667,0.5,0.5,0.810756,0.1667,0.0,1.0,0.25,0.8603
0.821165,0.2917,0.5,0.5,0.821165,0.2917,0.0,1.0,0.4375,1.0
0.843172,0.4167,0.5,0.5,0.843172,0.4167,0.0,1.0,0.625,0.9092
0.759431,0.125,0.5,0.5,0.759431,0.125,0.0,1.0,0.1875,1.0
0.822338,0.25,0.5,0.5,0.822338,0.25,0.0,1.0,0.375,0.8533
0.791738,0.1667,0.5,0.5,0.791738,0.1667,0.0,1.0,0.25,0.6926
0.796298,0.0833,0.5,0.5,0.796298,0.0833,0.0,1.0,0.125,0.8253
0.822833,0.0833,0.5,0.5,0.822833,0.0833,0.0,1.0,0.125,0.5569
0.822101,0.0,0.5,0.5,0.822101,0.0,0.0,1.0,0.0,0.3713
0.815717,0.125,0.5,0.5,0.815717,0.125,0.0,1.0,0.1875,0.7625
0.872501,0.3333,0.5,0.5,0.872501,0.3333,0.0,1.0,0.5,1.0
0.781156,0.125,0.5,0.5,0.781156,0.125,0.0,1.0,0.1875,0.4381
0.795742,0.1667,0.5,0.5,0.795742,0.1667,0.0,1.0,0.25,0.8463
0.838659,0.2917,0.5,0.5,0.838659,0.2917,0.0,1.0,0.4375,0.8852
