offre,candidat,sem_bge,comp_bge,exp_bge,form_bge,sem_v2,skills_raw,edu_gap,edu_domain_compat,exp_domain_ratio,label
Développeur Python FastAPI,Dev Python Senior,0.729,1.0,0.953,0.278,0.729,1.0,0.0,1.0,1.0,0.95
Développeur Python FastAPI,Dev React Junior,0.513,0.679,0.278,0.284,0.513,0.1667,0.4,1.0,0.2,0.0622
Développeur Python FastAPI,Data Scientist ML,0.511,0.787,0.863,0.275,0.511,0.3333,0.0,1.0,1.0,0.3867
Développeur Python FastAPI,DevOps AWS Senior,0.514,0.679,0.815,0.277,0.514,0.3333,0.0,1.0,0.55,0.3867
Développeur Python FastAPI,Dev Java Spring,0.56,0.772,0.867,0.284,0.56,0.5,0.0,1.0,1.0,0.75
Développeur Python FastAPI,Comptable Senior,0.5,0.0,0.232,0.152,0.5,0.0,0.0,0.45,0.05,0.0225
Développeur Python FastAPI,Auditeur Junior,0.5,0.0,0.163,0.15,0.5,0.0,0.0,0.45,0.05,0.02
Développeur Python FastAPI,Analyste Financier,0.5,0.0,0.172,0.154,0.5,0.0,0.4,0.45,0.05,0.02
Développeur Python FastAPI,Chargée RH,0.501,0.0,0.222,0.155,0.501,0.0,0.4,0.45,0.05,0.02
Développeur Python FastAPI,DRH Expérimenté,0.503,0.0,0.238,0.149,0.503,0.0,0.0,0.45,0.05,0.0225
Développeur Python FastAPI,Marketing Digital Manager,0.5,0.117,0.265,0.143,0.5,0.0,0.4,0.45,0.05,0.02
Développeur Python FastAPI,Responsable Logistique,0.501,0.0,0.226,0.215,0.501,0.0,0.0,0.75,0.05,0.0375
Développeur Python FastAPI,Acheteur Junior,0.502,0.0,0.166,0.152,0.502,0.0,0.4,0.45,0.05,0.02
Développeur Python FastAPI,Infirmier IDE,0.5,0.0,0.22,0.128,0.5,0.0,0.4,0.45,0.05,0.02
Développeur Python FastAPI,Pharmacien,0.5,0.0,0.164,0.147,0.5,0.0,0.0,0.45,0.05,0.02
Développeur Python FastAPI,Juriste Droit,0.5,0.0,0.219,0.149,0.5,0.0,0.0,0.45,0.05,0.0225
Développeur Python FastAPI,Ingénieur Génie Civil,0.5,0.299,0.36,0.156,0.5,0.0,0.0,0.45,0.05,0.0225
Développeur Python FastAPI,Dev Python (pour poste Finance),0.728,0.887,0.916,0.286,0.728,0.8333,0.0,1.0,1.0,0.9166
Développeur Python FastAPI,Comptable (pour poste IT),0.505,0.0,0.214,0.152,0.505,0.0,0.0,0.45,0.05,0.0225
