offre,candidat,sem_sim,skill_rate_w,exp_score,form_score,sem_v2,edu_dom_compat,exp_dom_ratio,title_skill_match,crit_skill_ratio,offer_type_enc,label
Développeur Python FastAPI,Dev Python 5ans,0.726,1.0,1.0,1.0,0.726,1.0,1.0,1.0,1.0,0.5,0.9452
Développeur Python FastAPI,Dev Python 2ans,0.7783,0.8333,0.5333,1.0,0.7783,1.0,0.6667,1.0,1.0,0.5,0.794
Développeur Python FastAPI,Stage Python,0.4966,0.5,0.0,0.8,0.4966,1.0,0.0,1.0,1.0,0.5,0.4543
Développeur Python FastAPI,Dev React 3ans,0.3522,0.0,0.9,0.6,0.3522,1.0,1.0,0.0,0.0,0.5,0.2654
Développeur Python FastAPI,Dev React Débutant,0.3351,0.0,0.2667,0.6,0.3351,1.0,0.3333,0.0,0.0,0.5,0.167
Développeur Python FastAPI,DevOps 4ans,0.3911,0.1667,0.9667,1.0,0.3911,1.0,1.0,0.0,0.0,0.5,0.4149
Développeur Python FastAPI,Data Scientist 3ans,0.4436,0.1667,0.9,1.0,0.4436,1.0,1.0,1.0,1.0,0.5,0.4154
Développeur Python FastAPI,Dev Java 4ans,0.4556,0.5,0.9667,1.0,0.4556,1.0,1.0,0.0,0.0,0.5,0.6111
Développeur Python FastAPI,Dev Java Junior,0.2935,0.1667,0.2667,0.6,0.2935,1.0,0.3333,0.0,0.0,0.5,0.2504
Développeur Python Senior,Dev Python 5ans,0.7939,0.8333,0.9,1.0,0.7939,1.0,1.0,1.0,1.0,1.0,0.8521
Développeur Python Senior,Dev Python 2ans,0.6767,0.5,0.32,1.0,0.6767,1.0,0.4,1.0,1.0,1.0,0.5583
Développeur Python Senior,Stage Python,0.5614,0.3333,0.0,0.8,0.5614,1.0,0.0,1.0,1.0,1.0,0.3756
Développeur Python Senior,Dev React 3ans,0.4103,0.0,0.48,0.6,0.4103,1.0,0.6,0.0,0.0,1.0,0.2141
Développeur Python Senior,Dev React Débutant,0.381,0.0,0.16,0.6,0.381,1.0,0.2,0.0,0.0,1.0,0.1602
Développeur Python Senior,DevOps 4ans,0.5044,0.1667,0.64,1.0,0.5044,1.0,0.8,0.0,0.0,1.0,0.3886
Développeur Python Senior,Data Scientist 3ans,0.5538,0.1667,0.48,1.0,0.5538,1.0,0.6,1.0,1.0,1.0,0.3744
Développeur Python Senior,Dev Java 4ans,0.4668,0.1667,0.64,1.0,0.4668,1.0,0.8,0.0,0.0,1.0,0.381
Développeur Python Senior,Dev Java Junior,0.4102,0.0,0.16,0.6,0.4102,1.0,0.2,0.0,0.0,1.0,0.166
Stage Développeur Python,Dev Python 5ans,0.6211,1.0,0.8,1.0,0.6211,1.0,1.0,1.0,1.0,0.0,0.8942
Stage Développeur Python,Dev Python 2ans,0.6195,0.5,0.8,1.0,0.6195,1.0,1.0,1.0,1.0,0.0,0.6189
Stage Développeur Python,Stage Python,0.6589,1.0,0.8,1.0,0.6589,1.0,0.0,1.0,1.0,0.0,0.9018
Stage Développeur Python,Dev React 3ans,0.3886,0.0,0.8,0.8,0.3886,1.0,1.0,0.0,0.0,0.0,0.2777
Stage Développeur Python,Dev React Débutant,0.4363,0.0,0.8,0.8,0.4363,1.0,1.0,0.0,0.0,0.0,0.2873
