sem_bge,comp_bge,exp_bge,form_bge,skills_raw,edu_gap_norm,domain_compat_score,label,domain_name,domain_match
0.8375,0.875,1.0,1.0,0.875,0.0,1.0,0.792,Développement React/Frontend,same
0.8375,0.875,1.0,1.0,0.875,0.0,1.0,0.7917,Développement React/Frontend,same
0.8375,0.875,1.0,1.0,0.875,0.0,1.0,0.7924,Développement React/Frontend,same
0.8375,0.875,1.0,0.8,0.875,0.2,1.0,0.8022,Développement React/Frontend,same
0.8375,0.875,1.0,0.8,0.875,0.2,1.0,0.7922,Développement React/Frontend,same
0.8375,0.875,1.0,0.8,0.875,0.2,1.0,0.7758,Développement React/Frontend,same
0.8375,0.875,1.0,0.6,0.875,0.4,1.0,0.7977,Développement React/Frontend,same
0.8375,0.875,1.0,0.6,0.875,0.4,1.0,0.7905,Développement React/Frontend,same
0.8375,0.875,1.0,0.6,0.875,0.4,1.0,0.7911,Développement React/Frontend,same
0.775,0.75,1.0,1.0,0.75,0.0,1.0,0.7389,Développement React/Frontend,same
0.775,0.75,1.0,1.0,0.75,0.0,1.0,0.7403,Développement React/Frontend,same
0.775,0.75,1.0,1.0,0.75,0.0,1.0,0.7515,Développement React/Frontend,same
0.775,0.75,1.0,0.8,0.75,0.2,1.0,0.7454,Développement React/Frontend,same
0.775,0.75,1.0,0.8,0.75,0.2,1.0,0.7388,Développement React/Frontend,same
0.775,0.75,1.0,0.8,0.75,0.2,1.0,0.7286,Développement React/Frontend,same
0.775,0.75,1.0,0.6,0.75,0.4,1.0,0.7253,Développement React/Frontend,same
0.775,0.75,1.0,0.6,0.75,0.4,1.0,0.7405,Développement React/Frontend,same
0.775,0.75,1.0,0.6,0.75,0.4,1.0,0.7532,Développement React/Frontend,same
0.7125,0.625,1.0,1.0,0.625,0.0,1.0,0.6817,Développement React/Frontend,same
0.7125,0.625,1.0,1.0,0.625,0.0,1.0,0.68,Développement React/Frontend,same
0.7125,0.625,1.0,1.0,0.625,0.0,1.0,0.6876,Développement React/Frontend,same
0.7125,0.625,1.0,0.8,0.625,0.2,1.0,0.6638,Développement React/Frontend,same
0.7125,0.625,1.0,0.8,0.625,0.2,1.0,0.6775,Développement React/Frontend,same
0.7125,0.625,1.0,0.8,0.625,0.2,1.0,0.6871,Développement React/Frontend,same
0.7125,0.625,1.0,0.6,0.625,0.4,1.0,0.6917,Développement React/Frontend,same
0.7125,0.625,1.0,0.6,0.625,0.4,1.0,0.6784,Développement React/Frontend,same
0.7125,0.625,1.0,0.6,0.625,0.4,1.0,0.6858,Développement React/Frontend,same
0.65,0.5,1.0,1.0,0.5,0.0,1.0,0.628,Développement React/Frontend,same
0.65,0.5,1.0,1.0,0.5,0.0,1.0,0.6344,Développement React/Frontend,same
0.65,0.5,1.0,1.0,0.5,0.0,1.0,0.6116,Développement React/Frontend,same
0.65,0.5,1.0,0.8,0.5,0.2,1.0,0.6318,Développement React/Frontend,same
0.65,0.5,1.0,0.8,0.5,0.2,1.0,0.6068,Développement React/Frontend,same
0.65,0.5,1.0,0.8,0.5,0.2,1.0,0.5936,Développement React/Frontend,same
0.65,0.5,1.0,0.6,0.5,0.4,1.0,0.6177,Développement React/Frontend,same
0.65,0.5,1.0,0.6,0.5,0.4,1.0,0.614,Développement React/Frontend,same
0.65,0.5,1.0,0.6,0.5,0.4,1.0,0.6355,Développement React/Frontend,same
0.525,0.25,1.0,1.0,0.25,0.0,1.0,0.5205,Développement React/Frontend,same
0.525,0.25,1.0,1.0,0.25,0.0,1.0,0.4979,Développement React/Frontend,same
0.525,0.25,1.0,1.0,0.25,0.0,1.0,0.5227,Développement React/Frontend,same
0.525,0.25,1.0,0.8,0.25,0.2,1.0,0.5005,Développement React/Frontend,same
0.525,0.25,1.0,0.8,0.25,0.2,1.0,0.5115,Développement React/Frontend,same
0.525,0.25,1.0,0.8,0.25,0.2,1.0,0.509,Développement React/Frontend,same
0.525,0.25,1.0,0.6,0.25,0.4,1.0,0.5139,Développement React/Frontend,same
0.525,0.25,1.0,0.6,0.25,0.4,1.0,0.5223,Développement React/Frontend,same
0.525,0.25,1.0,0.6,0.25,0.4,1.0,0.5202,Développement React/Frontend,same
0.4625,0.125,1.0,1.0,0.125,0.0,0.65,0.2917,Développement React/Frontend,adjacent
0.4625,0.125,1.0,0.8,0.125,0.2,0.65,0.2953,Développement React/Frontend,adjacent
0.4625,0.125,1.0,1.0,0.125,0.0,0.65,0.2932,Développement React/Frontend,adjacent
0.4625,0.125,1.0,0.8,0.125,0.2,0.65,0.28,Développement React/Frontend,adjacent
0.4625,0.125,1.0,1.0,0.125,0.0,0.65,0.2789,Développement React/Frontend,adjacent
0.4625,0.125,1.0,0.8,0.125,0.2,0.65,0.2819,Développement React/Frontend,adjacent
0.4,0.0,1.0,1.0,0.0,0.0,0.0,0.056,Développement React/Frontend,different
